league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,27,12.3,0,0,0,5,0,2,0,0.16,0.0,22,8,1,11,14,19,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,MF,25,21.5,3,5,8,6,0,57,17,2.65,0.79,34,28,4,108,4,22,,,,,5,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25,5.0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,24,1.0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,2,1,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,20,37.1,2,5,7,4,0,19,5,0.51,0.13,30,50,3,141,41,26,,,,,5,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35,2.0,0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,2.0,0,0,0,1,0,5,1,2.45,0.49,3,2,0,10,5,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,18,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29,23.5,2,3,5,9,0,33,12,1.4,0.51,42,31,1,47,30,33,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25,21.8,0,3,3,7,0,9,2,0.41,0.09,46,21,0,2,30,56,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,MF,19,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,34,2.0,0,0,0,2,0,0,0,0.0,0.0,5,0,0,0,4,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,"MF,FW",24,37.9,20,7,27,3,0,85,41,2.24,1.08,25,44,11,200,11,30,,,,,7,,,,,,,,,,
