club,date,views,log_views,match_day,home_match,goals_scored,goals_conceded,margin,win,draw,loss,day_after_match,day_after_win,day_after_draw,day_after_loss,cum_form,dow,month
Arsenal,2019-11-11,8089,8.998384010052538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11
Arsenal,2019-11-12,7723,8.952087643548404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11
Arsenal,2019-11-13,7389,8.907883013942248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11
Arsenal,2019-11-14,6375,8.760296220470051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11
Arsenal,2019-11-15,4947,8.506738733512378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11
Arsenal,2019-11-16,4901,8.497398564088058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11
Arsenal,2019-11-17,5324,8.580167990577626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11
Arsenal,2019-11-18,5089,8.53503310954457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11
Arsenal,2019-11-19,5744,8.656085190282855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11
Arsenal,2019-11-20,7185,8.879889967673464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11
Arsenal,2019-11-21,5896,8.682199026000504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11
Arsenal,2019-11-22,5723,8.652423140676342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11
Arsenal,2019-11-23,9115,9.117786390365575,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,11
Arsenal,2019-11-24,8267,9.020147920801659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6,11
Arsenal,2019-11-25,7257,8.889859587773016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
Arsenal,2019-11-26,7100,8.867990898182093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
Arsenal,2019-11-27,6598,8.794673401383422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,11
Arsenal,2019-11-28,9298,9.137662146478197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11
Arsenal,2019-11-29,34209,10.44027327797165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11
Arsenal,2019-11-30,18137,9.805764464007513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11
Arsenal,2019-12-01,19371,9.87158400352312,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
Arsenal,2019-12-02,10654,9.273784544532717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,12
Arsenal,2019-12-03,8230,9.015662792972645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
Arsenal,2019-12-04,8185,9.010180657052349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,12
Arsenal,2019-12-05,14075,9.552226498441476,1.0,1.0,1.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,12
Arsenal,2019-12-06,12676,9.447544606938727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,12
Arsenal,2019-12-07,9501,9.159257581746866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12
Arsenal,2019-12-08,8563,9.055322649709574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12
Arsenal,2019-12-09,14119,9.555347511047232,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,12
Arsenal,2019-12-10,10664,9.274722630905451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1,12
Arsenal,2019-12-11,10189,9.229162126216771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,12
Arsenal,2019-12-12,9373,9.14569517848265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,12
Arsenal,2019-12-13,7547,8.92903790648844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4,12
Arsenal,2019-12-14,7080,8.865170419651774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,12
Arsenal,2019-12-15,16104,9.686885061765299,1.0,1.0,0.0,3.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,12
Arsenal,2019-12-16,13134,9.48303570211964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,12
Arsenal,2019-12-17,13027,9.474856166396124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12
Arsenal,2019-12-18,13674,9.523324627290181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12
Arsenal,2019-12-19,10656,9.273972232220956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12
Arsenal,2019-12-20,23205,10.05216614490749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12
Arsenal,2019-12-21,20897,9.947408739594056,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,12
Arsenal,2019-12-22,12220,9.410911062438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6,12
Arsenal,2019-12-23,11011,9.306740866262498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12
Arsenal,2019-12-24,10134,9.2237500588861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
Arsenal,2019-12-25,8863,9.089753408987065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,12
Arsenal,2019-12-26,13990,9.546169544733285,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,12
Arsenal,2019-12-27,10237,9.233861567017529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4,12
Arsenal,2019-12-28,9577,9.167224080902555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,12
Arsenal,2019-12-29,21937,9.995975571971279,1.0,1.0,1.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,12
Arsenal,2019-12-30,11362,9.338117741918008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,12
Arsenal,2019-12-31,8835,9.086589564540008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12
Arsenal,2020-01-01,19380,9.872048483700748,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,1
Arsenal,2020-01-02,16501,9.711236864664288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3,1
Arsenal,2020-01-03,10780,9.285540604539118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4,1
Arsenal,2020-01-04,9151,9.12172771361958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5,1
Arsenal,2020-01-05,9101,9.116249448576587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6,1
Arsenal,2020-01-06,15898,9.67401149314871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Arsenal,2020-01-07,10023,9.212737496575905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Arsenal,2020-01-08,7101,8.868131713503033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
Arsenal,2020-01-09,6693,8.808966881771273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
Arsenal,2020-01-10,7072,8.86403999703599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
Arsenal,2020-01-11,11213,9.324918276683619,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
Arsenal,2020-01-12,8045,8.992930352509733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6,1
Arsenal,2020-01-13,7250,8.888894669371593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
Arsenal,2020-01-14,7234,8.886685639065584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
Arsenal,2020-01-15,7213,8.883778861463485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
Arsenal,2020-01-16,6928,8.843470781627381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
