PLAYER_NAME,PLAYER_POSITION,HEIGHT_IN,DRAFT_PICK
Trevor Booker,SF,80.0,23
Josh Boone,PF,82.0,23
Ron Boone,SG,74.0,447
Calvin Booth,C,83.0,65
Keith Booth,SF,78.0,28
Bob Boozer,SF,80.0,1
Carlos Boozer,SF,81.0,64
Curtis Borchardt,C,84.0,18
Jake Bornheimer,SF,77.0,61
Lazaro Borrell,SF,80.0,61
Costic Borsavage,C,80.0,61
Vince Boryla,SF,77.0,61
Chris Bosh,SF,83.0,4
Jim Bostic,SF,79.0,349
Brandon Boston,SG,78.0,81
Lawrence Boston,SF,80.0,171
Tom Boswell,SF,80.0,17
Chris Boucher,SF,81.0,61
James Bouknight,SG,76.0,11
Ruben Boumtje-Boumtje,C,84.0,79
Jamaree Bouyea,SG,74.0,61
Don Boven,SF,76.0,61
Cal Bowdler,SF,82.0,17
Bruce Bowen,SF,79.0,61
Ryan Bowen,SF,81.0,85
Brian Bowen II,SF,78.0,61
Anthony Bowie,SG,78.0,126
Sam Bowie,C,85.0,2
Ira Bowman,SG,77.0,61
Ky Bowman,SG,73.0,61
Nate Bowman,C,82.0,7
Donnie Boyce,SG,77.0,72
Dennis Boyd,SG,73.0,162
Fred Boyd,SG,74.0,5
Ken Boyd,SF,77.0,394
Earl Boykins,SG,65.0,61
Harry Boykoff,C,81.0,61
Winford Boynes,SG,78.0,13
Cedric Bozeman,SG,78.0,61
Steve Bracey,SG,73.0,51
Craig Brackins,SF,82.0,21
Gary Bradds,SF,80.0,3
Alex Bradley,SF,78.0,176
Alonzo Bradley,SF,78.0,59
Avery Bradley,SG,75.0,19
Bill Bradley,SF,77.0,61
Charles Bradley,SG,77.0,23
Dudley Bradley,SG,78.0,13
Joe Bradley,SG,75.0,61
Michael Bradley,SF,82.0,17
Shawn Bradley,C,90.0,2
Tony Bradley,PF,82.0,28
Mark Bradtke,C,82.0,61
Marques Bragg,SF,80.0,61
Torraye Braggs,SF,80.0,87
A.J. Bramlett,C,82.0,69
Adrian Branch,SF,79.0,76
Elton Brand,SF,81.0,1
Terrell Brandon,SG,71.0,11
Malaki Branham,SF,76.0,20
Bob Brannum,SF,78.0,61
Brad Branson,SF,82.0,75
Jesse Branson,SF,79.0,43
Jarrell Brantley,SF,77.0,80
Jim Brasco,SG,73.0,61
Mike Bratz,SG,74.0,126
Carl Braun,SG,77.0,61
Christian Braun,SG,78.0,21
Ignas Brazdeikis,SF,78.0,77
Koby Brea,SG,77.0,71
Tim Breaux,SF,79.0,61
J.R. Bremer,SG,74.0,61
Pete Brennan,SF,78.0,4
Tom Brennan,SF,75.0,61
Randy Breuer,C,87.0,18
Corey Brewer,SG,81.0,7
Jamison Brewer,SG,76.0,70
Jim Brewer,SF,81.0,2
Ron Brewer,SG,76.0,7
Ronnie Brewer,SF,79.0,14
Primoz Brezec,C,85.0,27
Frank Brian,SG,73.0,61
Frank Brickowski,PF,81.0,117
Junior Bridgeman,SF,77.0,8
Bill Bridges,SF,77.0,92
Jalen Bridges,SF,80.0,61
Mikal Bridges,SG,78.0,10
Miles Bridges,SF,79.0,12
Al Brightman,SF,74.0,61
Amida Brimah,C,82.0,61
Audley Brindley,SF,76.0,61
Isaiah Briscoe,SG,75.0,61
John Brisker,SF,77.0,61
Oshae Brissett,SF,79.0,61
Allan Bristow,SF,79.0,51
Tyrone Britt,SG,76.0,61
Wayman Britt,SG,74.0,150
Mike Brittain,C,84.0,59
David Britton,SG,76.0,117
Izaiah Brockington,SG,76.0,61
Jon Brockman,SF,79.0,68
Ryan Broekhoff,SG,78.0,61
Jim Brogan,SG,76.0,61
Malcolm Brogdon,SG,76.0,66
Gary Brokaw,SG,76.0,18
Price Brookfield,SF,76.0,61
Aaron Brooks,SG,72.0,26
Armoni Brooks,SG,75.0,61
Dillon Brooks,SG,79.0,75
Kevin Brooks,SF,78.0,18
MarShon Brooks,SG,77.0,25
Michael Brooks,SF,79.0,9
Scott Brooks,SG,71.0,61
Keion Brooks Jr.,SF,79.0,61
Johni Broome,SF,81.0,65
Andre Brown,SF,81.0,61
Anthony Brown,SF,79.0,64
Bob Brown,SF,76.0,61
Bobby Brown,SG,74.0,61
Bruce Brown,SG,76.0,72
